taxon_name	genus_status	max_ma	min_ma
Heterodontus	extant	56	47.8
Hypotodus	extinct	56	47.8
Isurolamna	extinct	56	47.8
Jaekelotodus	extinct	56	47.8
Microscyliorhinus	extinct	56	47.8
Myliobatis	extant	56	47.8
Odontaspis	extant	56	47.8
Pachygaleus	extinct	56	47.8
Palaeohypotodus	extinct	56	47.8
Pararhincodon	extinct	56	47.8
Parotodus	extinct	56	47.8
Physogaleus	extinct	56	47.8
Premontreia	extinct	56	47.8
Pseudabdounia	extinct	56	47.8
Rhinobatos	extant	56	47.8
Rhizoprionodon	extant	56	47.8
Squatina	extant	56	47.8
Striatolamia	extinct	56	47.8
Sylvestrilamia	extinct	56	47.8
Araloselachus	extinct	27.82	23.03
Atlantoraja	extant	27.82	23.03
Carcharhinus	extant	27.82	23.03
Carcharias	extant	27.82	23.03
Carcharodon	extant	27.82	23.03
Carcharoides	extinct	27.82	23.03
Cosmopolitodus	extinct	27.82	23.03
Dasyatis	extant	27.82	23.03
Dipturus	extant	27.82	23.03
Galeocerdo	extant	27.82	23.03
Galeorhinus	extant	27.82	23.03
Isurolamna	extinct	27.82	23.03
Keasius	extinct	27.82	23.03
Myliobatis	extant	27.82	23.03
Notorynchus	extant	27.82	23.03
Pachyscyllium	extinct	27.82	23.03
Physogaleus	extinct	27.82	23.03
Rhinoptera	extant	27.82	23.03
Squalus	extant	27.82	23.03
Squatina	extant	27.82	23.03
Carcharhinus	extant	11.63	5.333
Isurus	extant	11.63	5.333
Araloselachus	extinct	27.82	23.03
Carcharhinus	extant	27.82	23.03
Carcharoides	extinct	27.82	23.03
Dasyatis	extant	27.82	23.03
Isurus	extant	27.82	23.03
Keasius	extinct	27.82	23.03
Myliobatis	extant	27.82	23.03
Notorynchus	extant	27.82	23.03
Pachyscyllium	extinct	27.82	23.03
Squalus	extant	27.82	23.03
Squatina	extant	27.82	23.03
Atlantoraja	extant	27.82	23.03
Dasyatis	extant	27.82	23.03
Notorynchus	extant	27.82	23.03
Pachyscyllium	extinct	27.82	23.03
Squalus	extant	27.82	23.03
Carcharhinus	extant	27.82	23.03
Galeocerdo	extant	27.82	23.03
Carcharias	extant	47.8	37.71
Parotodus	extinct	47.8	37.71
Striatolamia	extinct	47.8	37.71
Anomotodon	extinct	47.8	37.71
Otodus	extinct	47.8	37.71
Alopias	extant	47.8	37.71
Carcharias	extant	47.8	37.71
Cretalamna	extinct	47.8	37.71
Hypotodus	extinct	47.8	37.71
Isurolamna	extinct	47.8	37.71
Jaekelotodus	extinct	47.8	37.71
Macrorhizodus	extinct	47.8	37.71
Myliobatis	extant	47.8	37.71
