taxon_name	status	max_ma	min_ma
Pachyscyllium distans	extinct	15.97	11.63
Paragaleus pulchellus	extinct	15.97	11.63
Pristiophorus suevicus	extinct	15.97	11.63
Scyliorhinus joleaudi	extinct	15.97	11.63
Sphyrna integra	extinct	15.97	11.63
Sphyrna zygaena	extant	15.97	11.63
Squatina subserrata	extinct	15.97	11.63
Carcharhinus acanthodon	extinct	11.63	7.246
Carcharhinus priscus	extinct	11.63	7.246
Carcharias taurus	extant	11.63	7.246
Chaenogaleus affinis	extinct	11.63	7.246
Galeocerdo aduncus	extinct	11.63	7.246
Hemipristis serra	extinct	11.63	7.246
Heptranchias perlo	extant	11.63	7.246
Hexanchus griseus	extant	11.63	7.246
Isistius triangulus	extinct	11.63	7.246
Isogomphodon acuarius	extinct	11.63	7.246
Isurus oxyrinchus	extant	11.63	7.246
Megascyliorhinus miocaenicus	extinct	11.63	7.246
Pachyscyllium distans	extinct	11.63	7.246
Paragaleus pulchellus	extinct	11.63	7.246
Pristiophorus suevicus	extinct	11.63	7.246
Scyliorhinus joleaudi	extinct	11.63	7.246
Sphyrna integra	extinct	11.63	7.246
Sphyrna zygaena	extant	11.63	7.246
Squatina subserrata	extinct	11.63	7.246
Otodus megalodon	extinct	11.63	7.246
Centrophorus granulosus	extant	23.03	15.97
Deania calcea	extant	23.03	15.97
Isistius triangulus	extinct	23.03	15.97
Squaliolus schaubi	extinct	23.03	15.97
Centrophorus granulosus	extant	23.03	15.97
Dalatias licha	extant	23.03	15.97
Deania calcea	extant	23.03	15.97
Isistius triangulus	extinct	23.03	15.97
Carcharhinus leucas	extant	11.63	5.333
Carcharhinus obscurus	extant	11.63	5.333
Anomotodon novus	extinct	23.03	11.63
Otodus megalodon	extinct	23.03	11.63
Araloselachus vorax	extinct	5.333	3.6
Carcharias contortidens	extinct	5.333	3.6
Carcharodon hastalis	extinct	5.333	3.6
Galeorhinus galeus	extant	5.333	3.6
Isurus subserratus	extinct	5.333	3.6
Notorynchus primigenius	extinct	5.333	3.6
Araloselachus cuspidatus	extinct	11.63	5.333
Araloselachus vorax	extinct	11.63	5.333
Carcharias contortidens	extinct	11.63	5.333
Carcharodon hastalis	extinct	11.63	5.333
Hexanchus gigas	extinct	11.63	5.333
Isurus subserratus	extinct	11.63	5.333
Notorynchus primigenius	extinct	11.63	5.333
Araloselachus cuspidatus	extinct	11.63	5.333
Araloselachus vorax	extinct	11.63	5.333
Carcharodon hastalis	extinct	11.63	5.333
Galeocerdo aduncus	extinct	11.63	5.333
Hexanchus gigas	extinct	11.63	5.333
Isurus retroflexus	extinct	11.63	5.333
Isurus subserratus	extinct	11.63	5.333
Notorynchus primigenius	extinct	11.63	5.333
Araloselachus vorax	extinct	15.97	11.63
Carcharhinus priscus	extinct	15.97	11.63
Carcharias contortidens	extinct	15.97	11.63
Carcharodon hastalis	extinct	15.97	11.63
Dasyatis targionii	extinct	15.97	11.63
Galeocerdo aduncus	extinct	15.97	11.63
Isurus retroflexus	extinct	15.97	11.63
Notorynchus primigenius	extinct	15.97	11.63
Odontaspis molassica	extinct	15.97	11.63
Pachyscyllium distans	extinct	15.97	11.63
Parotodus benedeni	extinct	15.97	11.63
Sphyrna laevissima	extinct	15.97	11.63
Squatina subserrata	extinct	15.97	11.63
Otodus megalodon	extinct	15.97	11.63
Aetobatus arcuatus	extinct	15.97	11.63
Alopias exigua	extinct	15.97	11.63
Araloselachus cuspidatus	extinct	15.97	11.63
Araloselachus vorax	extinct	15.97	11.63
Carcharhinus priscus	extinct	15.97	11.63
Carcharias contortidens	extinct	15.97	11.63
Carcharodon hastalis	extinct	15.97	11.63
Carcharoides catticus	extinct	15.97	11.63
Dasyatis targionii	extinct	15.97	11.63
Galeocerdo aduncus	extinct	15.97	11.63
Isurus retroflexus	extinct	15.97	11.63
Notorynchus primigenius	extinct	15.97	11.63
Odontaspis molassica	extinct	15.97	11.63
Pachyscyllium distans	extinct	15.97	11.63
Parotodus benedeni	extinct	15.97	11.63
Sphyrna integra	extinct	15.97	11.63
Squatina subserrata	extinct	15.97	11.63
Otodus megalodon	extinct	15.97	11.63
Aetobatus arcuatus	extinct	15.97	11.63
Araloselachus vorax	extinct	15.97	11.63
Carcharhinus priscus	extinct	15.97	11.63
Carcharias contortidens	extinct	15.97	11.63
Carcharodon hastalis	extinct	15.97	11.63
Carcharoides catticus	extinct	15.97	11.63
Galeocerdo aduncus	extinct	15.97	11.63
Isurus desori	extinct	15.97	11.63
Isurus retroflexus	extinct	15.97	11.63
Notorynchus primigenius	extinct	15.97	11.63
Odontaspis molassica	extinct	15.97	11.63
Pachyscyllium distans	extinct	15.97	11.63
Sphyrna integra	extinct	15.97	11.63
Squatina subserrata	extinct	15.97	11.63
Carcharias taurus	extant	2.58	0.0117
Carcharodon carcharias	extant	3.6	2.58
Carcharodon carcharias	extant	3.6	2.58
Dalatias licha	extant	3.6	2.58
Isurus paucus	extant	5.333	2.58
